,title,description,publishedAt,videoId,liveBroadcastContent
123,A integração com o YouTube e criação de vídeos,A integração com o YouTube e criação de vídeos https://www.grupof.com.br/a-integracao-com-o-youtube-e-criacao-de-videos/ A ...,2017-04-25T03:37:52Z,1XpxzcjsJe4,none
124,Dublagens Malditas 2 - Morto vivo,,2020-08-24T06:00:46Z,mO-oCjaHABQ,none
125,Transmissão ao vivo da minha #GoPro,,2023-07-16T20:40:57Z,qMtUbF33mys,none
126,Standup Trip - Escalada e show em Sorocaba! Vamoslonge  gravando de novo!,,2023-08-25T15:52:21Z,lEPbRWmY00o,none
127,"RV #15 Bonito, MS - Sai com 2 cariocas e olha no que deu! Experimentei carne de jacaré!","Série de vídeos onde eu relato os perrengues, histórias engraçadas, dificuldades e tudo que um viajante viajado passa de moto ...",2020-08-19T20:15:51Z,PTWUVchgkaU,none
128,Fui entrevistado em Brasília - Joy Hostel (inédita),"Fui entrevistado na minha passagem por Brasília, minha primeira entrevista como viajante, muito animado e solicito. Aguardei ...",2021-08-01T23:22:54Z,mdJ0IpgZktE,none
129,"Praia do Prata - Palmas, TO (extra)",,2020-10-20T20:29:54Z,Wndk4K7n0TA,none
130,Adrenalive Pedal - História da minha bike 1/6,,2023-09-25T03:54:39Z,LBEZlWz5Eac,none
131,América Latina #6 casino no Paraguai,,2022-09-24T05:58:14Z,PPjL17y8F-A,none
132,Adrenalive Pedal - História da minha bike 6/6,,2023-09-25T09:00:41Z,viA0khFGPUk,none
133,"Standup Trip Sorocaba, SP - Aula Experimental na Oficina da Comédia 5/9",,2023-09-26T20:00:01Z,2n1uKfVVfPg,none
134,Adrenalive Pedal - História da minha bike 5/6,,2023-09-25T08:00:30Z,dDyi1NjVxrQ,none
135,Adrenalive - Pneu voltou furado da borracharia... Vamos Longe da Vida Real,Testando a camera e pra surpresa... pneu no chão... mais trabalhooooo.,2023-08-22T03:54:11Z,wD-2f-XY_kc,none
136,Adrenalive Pedal - História da minha bike 3/6,,2023-09-25T06:00:10Z,ecqrkPZWik4,none
137,Especial Jalapão,Primeiro especial do vamos longe.,2020-10-25T07:45:03Z,pwlrWTwM_1I,none
138,Floripa 10 - Surf na Mole,,2020-06-28T05:48:25Z,igujPpuynSI,none
139,Dublagens Malditas 1 - Carminha,,2020-08-24T06:00:10Z,8BMRjEo5w64,none
140,"Cruzando a Bahia, de Barreiras a Itaberaba de Tornado 250",viagem de moto pelo Brasil #tornado250 #moto #brasil #bahia #viagemdemoto #viagem.,2022-04-18T04:33:04Z,A3No-fHtJUg,none
141,RV #15 - Fiz novos e bons amigos,,2020-08-25T13:53:00Z,A-DwFIX8ONY,none
142,Bonito 7 - Produção de Vídeos,chove e faz frio.,2020-08-24T02:22:28Z,ltT2-A4WRtk,none
143,Extra - Moto do Marcos,,2020-08-09T15:20:51Z,9CFT0TkyS5M,none
144,"Live - Recordando Itapetininga, SP 2020","Capítulo 2, chegada em Itapetininga e semente do vamoslonge #moto #vamoslonge #nomadedigital #turismo #viagemdemoto ...",2023-02-03T01:58:29Z,TFrwdATGBaA,none
145,Extra - Explicando quase preso na Argentina,,2020-08-16T18:54:19Z,iHXqH_74wDY,none
146,Em vez de cobrar pressa faça a diferença... #simpatia #bondade #emocao #licao #shorts,,2022-04-13T01:34:52Z,yXHtvj2huc8,none
147,"Live - Recordando São Paulo, SP 2019","minha vida em São Paulo antes de viajar pelo Brasil e América Latina, não tinha ideia que ia existir vamoslonge #vamoslonge ...",2023-01-25T02:53:16Z,pwlYurxevto,none
148,Porto Alegre à Pelotas - Enchente no RS,,2020-07-15T19:02:47Z,4-Zc-D_7WK0,none
149,"Shorts Itapetininga, SP 2020 primeira parada na pandemia...  #motonomade #comosernomadadigital",primeira parada na pandemia... Itapetininga #motonomade #comosernomadadigital #traveling #twowheels #braziltourism ...,2023-01-27T01:52:58Z,h-zwRxUzNMI,none
150,Campo Grande - Moto Tombou,"precisei subir de novo, com as imagens da oficina no fim Campo Grande não me deixou ir, veja no Relatos Viajados 19 porque ...",2020-09-08T18:48:38Z,wiaDnz7WtVY,none
151,plantando surf!!! #shorts,,2022-06-02T16:35:59Z,Y_X6AxyU4jw,none
152,Sorte ou Azar? - Moto quebrou em Taim,,2020-08-06T20:01:29Z,Fr6QcGwk6VU,none
153,América Latina #2 - Ponta Grossa até Foz do Iguaçu,,2022-09-18T03:49:32Z,VlPNzW_7lqs,none
154,"Role em Bonito, Tornado 250",,2020-08-24T16:34:05Z,YE8GHzV796U,none
155,"Extra - Cheguei na Argentina, Tri fronteira",,2020-08-09T15:31:01Z,640u1QDZXac,none
156,Wesley sobre aquário de Balneário Camboriú | Entrevistando Longe #2,"Como Jacaré, Tartarugas e Peixes convivem.",2020-06-16T01:13:24Z,IuvexG7pJf8,none
157,"Campo Grande - 14 de julho, Camelódromo",,2020-09-03T02:57:29Z,uz5ZXgbU_zw,none
158,Brasília - Parque da Cidade (extra),,2020-10-06T01:38:54Z,j4toWcif_zk,none
159,"pôr do sol, parque redenção, Porto Alegre, RS",,2020-07-07T05:07:25Z,pexKKL_uUyA,none
160,Live with Restream,Test.,2022-06-03T22:35:50Z,RIWEzRCbmpY,none
161,Shorts previa do teaser viajando o Brasil e Uruguai de moto #motochileros #motomochil,previa do teaser da primeira temporada viajando o Brasil e Uruguai de moto #motochileros #motomochileros #motonomade ...,2023-03-16T18:55:24Z,k9LoYWzVpmg,none
162,Vamoslonge visita Escadaria Selarón e conta um pouco da história #shorts,,2022-06-01T14:23:59Z,zxSF8hXWISY,none
163,rugido e não sei o que #zueira #piada #humor #divertido,,2022-09-14T21:07:03Z,T6ZwiDPDLNU,none
164,RV #3.5 Quase Morri Surfando na Mole,"Série de vídeos onde eu relato os perrengues, histórias engraçadas, dificuldades e tudo que um viajante viajado passa de moto ...",2020-08-05T16:39:44Z,2vfwEVw1vrc,none
165,Transmissão ao vivo da minha #GoPro,,2023-06-25T23:10:11Z,lV8ANCjpe5I,none
166,Raul Sá conta história da Colgate e Deus  | Entrevistando Longe #3,siga ele no Instagram @arvores.justice.,2020-08-15T23:54:08Z,DzchgAFHe34,none
167,"RV #26 Brasília, DF - Explorando a cidade e pontos turísticos!","Série de vídeos onde eu relato os perrengues, histórias engraçadas, dificuldades e tudo que um viajante viajado passa de moto ...",2020-10-05T01:29:55Z,u1EKERDfNZE,none
168,Pirenópolis - Cachoeira das Araras e Renascer,,2020-10-01T04:15:29Z,7sWfy5T3u3k,none
169,VamosLonge.tv - 24h de aventura,Powered by Restream https://restream.io Aqui temos ação e aventura 24 horas.,2023-03-23T14:19:41Z,ZXLHGP3qzlo,none
170,Pirenópolis - Pico dos Pireneus - Brasília,,2020-10-04T16:57:38Z,IWm4H9JPLQU,none
171,"RV #53 Hohenau, Paraguai - A fuga do Paraguai, inferno na oficina",em 26:09:2022.,2023-01-23T21:00:09Z,HgisbZZcvro,none
172,América Latina #3 Chegada na Fronteira: Foz do Iguaçu,,2022-09-19T00:54:37Z,VHnz7gZrYbA,none
173,América Latina #6 casino no Paraguai,,2022-09-24T05:58:14Z,PPjL17y8F-A,none
174,"Rafael meu anjo, me ajudou a evitar prisão na Argentina",,2020-08-09T15:38:44Z,HYaHJT8BOeM,none
175,Anna carioca viajante inspira mulheres  | Entrevistando Longe #5,,2020-08-17T03:16:16Z,uhEZs8NbUmE,none
176,Transmissão ao vivo da minha #GoPro,,2023-06-25T22:09:12Z,hMC9nVLX1Jo,none
177,"RV #45 Copacabana, RJ - A Noite Louca Carioca","Série de vídeos onde eu relato os perrengues, histórias engraçadas, dificuldades e tudo que um viajante viajado passa de moto ...",2022-05-17T18:29:36Z,ZLJwMNBA5Q8,none
178,"De Salvador a Morro de São Paulo, de moto",vlog do vamos longe.,2022-04-30T22:16:09Z,ZEI4FsIUqpw,none
179,"RV #43 Búzios, RJ - Estourou o motor e humilhado em restaurante chique!","Série de vídeos onde eu relato os perrengues, histórias engraçadas, dificuldades e tudo que um viajante viajado passa de moto ...",2022-05-02T14:34:34Z,42GxNq0AmbE,none
180,Origem do Canal: De São Paulo a Curitiba,,2020-09-03T00:01:14Z,IPcCOU3YZuQ,none
181,Dúvidas Viajadas: Raspa cabelo? peguei covid? Próximo destino? (São Miguel do Oeste),,2020-08-09T15:17:04Z,88B9QfVnzdA,none
182,"Rolê de Moto em Goiânia, Tornado 250","quarta troca de hotel, churrasqueira pesada.",2020-09-24T05:21:21Z,Omw87x6wSuM,none
183,De Cruz Alta a São Miguel do Oeste de Tornado 250,,2020-08-09T12:13:24Z,AL-uyOAXXKs,none
184,Manos e Manos,,2020-06-14T11:25:30Z,QALMRwtoLqw,none
185,"RV #58 São Fracisco do Sul, SC - Quase morri surfando... de novo",25:10:2022 #vamoslonge #nomadedigital #turismo.,2023-02-04T21:00:10Z,h58SNfgFjjo,none
186,Especial Jalapão,Primeiro especial do vamos longe.,2020-10-25T07:45:03Z,pwlrWTwM_1I,none
187,"Live - Recordando Cananéia, SP 2020",,2023-03-02T04:01:13Z,smUcfu69YfY,none
188,Floripa 10 - Surf na Mole,,2020-06-28T05:48:25Z,igujPpuynSI,none
189,Socorro! Carro quebrou no Paraguai e fomos abusados!,"Viajando pelo Paraguai com destino Argentina, pelo canal do YouTube Instagram @vamoslonge, indo a Buenos Aires, tivemos a ...",2022-09-24T15:49:42Z,nQAHNIG5XJY,none
190,Cavalos falantes bruuurruruuuruu #standup #piada #divertido #engracado #zueira #shorts,,2022-09-14T21:07:15Z,pDEuNNiRPQI,none
191,"RV #44 Arraial do Cabo RJ - Rolê insado com a galera do Hostel, barco, buggie e festas.","Série de vídeos onde eu relato os perrengues, histórias engraçadas, dificuldades e tudo que um viajante viajado passa de moto ...",2022-05-04T15:34:43Z,p-0BgkURdJ0,none
192,Teste de conexão backup de 2 celular,"Para transmitir ao vivo pelo protocolo RTMP sem queda, usando 2 chips em 2 celulares com hotspot.",2022-06-03T23:33:21Z,CcBalqbAay0,none
193,Campo Grande - Moto Tombou,"precisei subir de novo, com as imagens da oficina no fim Campo Grande não me deixou ir, veja no Relatos Viajados 19 porque ...",2020-09-08T18:48:38Z,wiaDnz7WtVY,none
194,VamosLonge.tv - 24h de aventura,Powered by Restream https://restream.io Aqui temos ação e aventura 24 horas.,2023-03-23T14:19:41Z,ZXLHGP3qzlo,none
195,Brasília - Pontos Turísticos,,2020-10-05T04:56:58Z,lxJSMoPxBuw,none
196,"RV #27 Alto Paraíso de Goiás, GO - Caçando ETs e aventuras","Série de vídeos onde eu relato os perrengues, histórias engraçadas, dificuldades e tudo que um viajante viajado passa de moto ...",2020-10-25T05:32:33Z,-pcNUir-oUo,none
197,plantando surf!!! #shorts,,2022-06-02T16:35:59Z,Y_X6AxyU4jw,none
